word,rank,frequency
covered,719,105
beginning,720,105
Yea,721,105
beloved,722,105
wherewith,723,105
shut,724,105
buried,725,105
eaten,726,105
linen,727,104
fight,728,104
Jeroboam,729,104
wait,730,104
knoweth,731,104
saved,732,104
possession,733,104
bound,734,104
Also,735,104
gospel,736,104
garments,737,103
Neither,738,103
lion,739,103
oxen,740,102
morrow,741,102
rain,742,102
corn,743,102
Gilead,744,101
utterly,745,101
still,746,101
teach,747,101
prepared,748,101
idols,749,101
clothes,750,101
remember,751,101
image,752,101
charge,753,101
prince,754,100
wrought,755,100
sit,756,100
coming,757,100
ready,758,100
shame,759,100
minister,760,100
portion,761,100
Esau,762,100
nigh,763,100
bones,764,99
perfect,765,99
tent,766,98
sore,767,98
burned,768,98
iron,769,98
Egyptians,770,98
seeing,771,98
curse,772,98
loved,773,98
flee,774,98
anointed,775,98
plague,776,98
everlasting,777,97
goats,778,97
small,779,97
names,780,97
famine,781,96
command,782,96
doeth,783,96
Even,784,96
saints,785,96
shekels,786,96
liveth,787,96
pure,788,96
consumed,789,96
riches,790,96
foot,791,95
thither,792,95
ought,793,95
bow,794,94
caused,795,94
angels,796,94
hour,797,94
mind,798,94
Ahab,799,94
stead,800,94
remnant,801,92
sing,802,92
ask,803,92
threescore,804,92
going,805,92
committed,806,92
top,807,91
Canaan,808,91
ram,809,91
Ammon,810,91
removed,811,91
bed,812,91
Ghost,813,90
destruction,814,90
ass,815,90
just,816,90
prison,817,90
breadth,818,89
pillars,819,89
glad,820,89
His,821,88
Surely,822,88
alive,823,88
sound,824,88
pit,825,88
noise,826,88
sick,827,88
wherefore,828,87
Give,829,87
understand,830,87
get,831,87
suffer,832,87
reproach,833,87
labour,834,87
Pharisees,835,87
garment,836,86
hate,837,86
increase,838,86
Edom,839,86
company,840,86
ruler,841,86
greatly,842,86
early,843,86
rod,844,86
declare,845,85
carry,846,85
raised,847,85
fast,848,85
never,849,85
drew,850,85
lift,851,85
wash,852,85
By,853,84
fourth,854,84
last,855,84
Jehoshaphat,856,84
vanity,857,84
poured,858,84
Daniel,859,84
pitched,860,82
trespass,861,82
fulfilled,862,82
army,863,82
sold,864,82
atonement,865,81
continually,866,81
tenth,867,81
thought,868,81
hearkened,869,81
taught,870,81
lambs,871,81
rich,872,81
blind,873,81
write,874,80
flocks,875,80
matter,876,80
sleep,877,80
heed,878,80
abroad,879,80
eight,880,80
true,881,79
healed,882,79
bringeth,883,79
messengers,884,79
fallen,885,79
vision,886,79
faithful,887,79
sacrifices,888,79
prophesy,889,79
reward,890,79
souls,891,78
Shall,892,78
rulers,893,78
knowest,894,78
remain,895,78
bowed,896,78
likewise,897,78
sware,898,78
abide,899,77
strangers,900,77
ones,901,77
lamb,902,77
church,903,77
hill,904,77
rams,905,77
Amen,906,77
Woe,907,77
lot,908,76
abomination,909,76
Simon,910,76
rivers,911,76
skin,912,76
strange,913,76
wings,914,76
arise,915,76
sign,916,76
After,917,76
length,918,76
hide,919,76
greater,920,76
precious,921,75
testimony,922,75
Selah,923,75
forsaken,924,75
follow,925,75
abominations,926,75
white,927,75
affliction,928,75
moved,929,75
Syria,930,75
plain,931,75
branches,932,75
villages,933,75
passover,934,75
dream,935,74
established,936,74
Eleazar,937,74
served,938,74
feed,939,74
speaketh,940,74
Reuben,941,74
feared,942,74
taketh,943,74
behind,944,73
Hebron,945,73
shadow,946,73
Arise,947,73
commit,948,73
table,949,73
Amorites,950,73
King,951,73
prey,952,73
faces,953,73
fool,954,73
brake,955,73
clothed,956,73
Dan,957,72
Verily,958,72
Levi,959,72
aside,960,72
Galilee,961,72
Gad,962,72
Where,963,72
reason,964,71
devour,965,71
thanks,966,71
ship,967,71
defiled,968,71
wept,969,71
Lebanon,970,71
images,971,71
shouldest,972,71
scattered,973,71
stretched,974,71
womb,975,71
dry,976,71
doors,977,71
cover,978,70
Nevertheless,979,70
worshipped,980,70
appeared,981,70
youth,982,70
whereof,983,69
vineyard,984,69
abode,985,69
measure,986,69
Elijah,987,69
fury,988,69
indeed,989,69
prepare,990,69
divided,991,69
west,992,69
favour,993,69
sorrow,994,69
burden,995,69
Speak,996,69
grave,997,68
scribes,998,68
troubled,999,68
abundance,1000,68
cup,1001,68
verily,1002,68
secret,1003,68
read,1004,68
led,1005,68
worthy,1006,67
beseech,1007,67
horns,1008,67
upright,1009,67
Do,1010,67
killed,1011,67
hither,1012,67
golden,1013,66
rent,1014,66
kindled,1015,66
thereon,1016,66
Abimelech,1017,66
Chaldeans,1018,66
run,1019,66
arm,1020,66
walls,1021,66
tents,1022,66
acts,1023,66
Bethel,1024,66
chambers,1025,66
crown,1026,66
wast,1027,66
prayed,1028,65
cease,1029,65
rule,1030,65
streets,1031,65
few,1032,65
loveth,1033,65
hills,1034,65
soon,1035,65
blessing,1036,65
ox,1037,64
others,1038,64
chariot,1039,64
fought,1040,64
Jericho,1041,64
hair,1042,64
exalted,1043,64
parts,1044,64
asses,1045,64
cherubims,1046,64
obey,1047,64
Baal,1048,64
fail,1049,64
Shechem,1050,64
deep,1051,64
waste,1052,64
Abner,1053,63
Balaam,1054,63
From,1055,63
draw,1056,63
smitten,1057,63
At,1058,63
false,1059,63
judged,1060,63
daily,1061,63
loins,1062,63
vine,1063,62
Zedekiah,1064,62
neck,1065,62
rather,1066,62
wrote,1067,62
coast,1068,62
thousands,1069,62
sanctified,1070,62
redeemed,1071,62
height,1072,62
blemish,1073,62
hurt,1074,62
grass,1075,62
pleased,1076,62
inherit,1077,62
comfort,1078,62
sanctify,1079,62
preached,1080,61
Syrians,1081,61
trumpet,1082,61
